dia,habitat,punto,Peucaea mystacallis,Basileuterus rufifrons,Campylorhinchus jocosus,Camptostoma imberbe,Carduelis psaltria,Catherpes mexicanus,Columbina inca,Columbina passerina,Coragyps atratus,Corvus corax,Crotophaga sulcirostris,Cynanthus sordidus,Dendroica coronata,Haemorhous mexicanus,Hirunda rustica,Icterus cucullatus,Icterus pustulatus,Melanerpes hypopolius,Micrathene whitneyi,Mimus polyglottos,Molothrus aeneus,Momotus mexicanus,Myiarchus cinerascens,Passerina caerulea,Passerina versicolor,Aimophila aestivalis,Phainopepla nitens,Pheucticus chrysopeplus,Pheucticus melanocephalus,Pitangus sulphuratus,Polioptila caerulea,Pyrocephalus rubinus,Salpinctes obsoletus,Sayornis nigricans,Psiloscops flammeolus,Thryomanes bewickii,Toxostoma curvirostre,Trogon elegans,Tyrannus melancholicus,Tyrannus verticalis,Tyrannus vociferans,Zenaida asiatica,Zenaida macroura
1,cultivo,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
1,cultivo,2,2,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,5,4,0,0,0,3,4,0
1,cultivo,3,4,0,0,0,9,0,0,0,0,1,0,0,0,6,0,2,0,0,0,3,2,1,0,2,0,1,0,0,0,0,0,3,0,3,0,0,1,1,0,0,0,12,0
1,cultivo,4,2,0,3,0,0,2,0,1,0,0,0,0,1,5,0,1,0,3,0,2,0,0,0,5,3,0,0,0,0,3,2,2,0,0,0,6,0,1,0,2,0,7,0
1,cultivo,5,3,3,2,0,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,2,0,0,0,3,0,3,0,0,0,3,1,1,0,2,0,2,0,0,0,0,1,4,0
1,mezquitera,1,1,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,8,0,1,1,0,0,0,0
1,mezquitera,2,1,0,2,0,0,0,6,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,1,3,0,5,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,8,1
1,mezquitera,3,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,8,0
1,mezquitera,4,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,6,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,4,1,0,0,0,0,3,0
1,tetechera,1,5,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,tetechera,2,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,3,1,1,0,0,0,4,0
1,tetechera,3,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1
1,tetechera,4,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,tetechera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,tetechera,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,tetechera,3,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,1,0
2,tetechera,4,4,0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,2,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0
2,tetechera,5,3,0,0,2,2,0,2,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,1
2,cultivo,1,5,5,2,1,2,0,0,0,5,0,0,0,0,9,0,0,0,4,0,8,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,6,3,0,0,0,1,3,0
2,cultivo,2,2,0,1,0,3,0,6,1,0,0,0,0,0,3,0,0,0,3,0,3,3,0,0,4,3,4,0,0,0,1,0,5,0,1,0,1,2,0,0,0,0,2,0
2,cultivo,3,5,3,0,0,0,0,0,0,0,0,1,0,0,5,0,2,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0
2,cultivo,4,4,0,2,1,0,0,0,2,0,0,0,0,0,6,1,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,4,2,0,3,0,3,0,0,0,0,1,2,0
2,mezquitera,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,2,0,0,4,2,0,0,0,0,4,0
2,mezquitera,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0,0,2,2,0,0,5,0,0,0,0,0,2,0,2,2,0,0,4,1
2,mezquitera,3,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,5,0
2,mezquitera,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0
3,mezquitera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3,mezquitera,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,1
3,mezquitera,3,5,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,3,0,1,0,0,5,0
3,mezquitera,4,2,0,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,3,0,1,2,0,0,1,1,0,0,0,0,3,2
3,mezquitera,5,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1,1,0,0,1,6,0
3,tetechera,1,4,6,2,4,3,3,0,0,0,0,0,0,0,0,3,0,0,6,0,5,0,3,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,3,6,3
3,tetechera,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,7,0,3,0,0,1,4,0,0,4,3,0,0,0,0,0,3,2,0,0,0,1,3,0
3,tetechera,3,3,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,2,0,0,3,0,0,0,4,0,3,0,0,0,3,3,2,0,0,0,1,2
3,tetechera,4,5,0,2,2,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,4,2,2,0,0,0,4,0
3,cultivo,1,4,4,3,3,0,2,0,0,0,1,4,0,0,5,0,0,0,3,0,9,0,0,1,0,0,0,0,4,2,3,0,3,0,0,0,3,2,0,0,0,3,6,0
3,cultivo,2,5,0,0,0,4,2,0,0,0,0,3,0,0,4,4,2,0,0,0,7,2,0,0,3,3,0,0,0,0,0,0,4,0,0,0,4,0,2,0,0,2,4,2
3,cultivo,3,0,1,3,0,13,0,0,0,0,0,2,0,0,10,3,0,0,0,0,6,2,0,1,1,4,0,2,0,2,0,0,1,0,0,0,4,0,0,2,3,4,6,0
3,cultivo,4,3,2,3,0,4,0,0,0,0,1,0,0,0,3,0,2,2,0,0,2,0,0,0,2,0,2,0,0,2,0,0,6,0,0,0,5,2,0,0,0,0,3,0
4,tetechera,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,tetechera,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,tetechera,3,4,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
4,tetechera,4,6,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0
4,tetechera,5,7,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1
4,mezquitera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,1,0,0,0,6,0
4,mezquitera,2,2,0,0,0,3,0,1,1,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,3,0
4,mezquitera,3,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,2,2,0,0,0,1,6,1
4,mezquitera,4,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,1,2,3,2
4,cultivo,1,1,1,2,0,4,0,0,0,0,2,0,0,0,4,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,1,3,0
4,cultivo,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,10,2,0,0,1,0,1,0
4,cultivo,3,4,0,4,0,5,0,0,0,0,0,0,0,0,3,3,0,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
4,cultivo,4,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,3,0,0,0,2,1,2,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,2,0
5,cultivo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,cultivo,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,cultivo,3,9,6,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,3,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1
5,cultivo,4,10,2,2,0,10,0,0,1,0,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,1,0
5,cultivo,5,7,0,0,0,9,0,1,1,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0
5,tetechera,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,1,5,1
5,tetechera,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,10,0
5,tetechera,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,3,0
5,tetechera,4,3,1,1,1,2,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,3,0
5,mezquitera,1,3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0,2,0
5,mezquitera,2,1,1,1,0,3,0,0,0,0,2,0,0,0,2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,1,1,0
5,mezquitera,3,3,0,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,2,0,4,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,3,0,0,0,0,4,0
5,mezquitera,4,2,0,1,2,0,0,3,0,0,1,0,0,0,2,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,7,0
6,mezquitera,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,mezquitera,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,mezquitera,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,4,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,5,5
6,mezquitera,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0
6,mezquitera,5,4,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,4,2,1,0,0,2,3,0
6,cultivo,1,0,1,2,3,2,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,5,0
6,cultivo,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,2,2,3,0,0,0,1,0,0,1,1,0,1,2,1,0,0,0,4,0
6,cultivo,3,2,1,0,0,3,2,1,1,0,0,0,0,0,0,1,3,0,1,0,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
6,cultivo,4,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,3,1,0,2,0,4,0,0,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,tetechera,1,2,0,3,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1
6,tetechera,2,1,1,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,2,0,1,0,2,3,0
6,tetechera,3,2,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,2,5,0,1,1,0,0,0,0,0,0,5,6,0,0,2,1,2,0
6,tetechera,4,2,0,3,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,1,0,0,0,0,0,0,4,0,1,0,0,0,0,3
