dia,habitat,punto,hora,dba,adi,aci,ae,bi,ndsi
1,cultivo,1,61200,39.524348256823,1.293955,8163.64446560734,0.703073,4.08308541827466,0.541814415275128
1,cultivo,2,63000,42.3303903319162,1.752389,7410.42885285672,0.547819,7.72453253645273,0.984250320407437
1,cultivo,3,65000,48.7197887802042,2.043776,6598.53099297615,0.38508,8.32820063944082,0.980143106440881
1,cultivo,4,71300,43.5208475679627,1.731944,6295.04420242887,0.563637,8.87776478181499,0.975360406705438
1,cultivo,5,73000,51.8197887604651,1.782639,5925.47494996742,0.537324,8.89419944012644,0.921071607945902
1,mezquitera,1,80200,44.0197889007877,1.997414,5456.56438681396,0.423451,5.35099013732684,0.935131388978419
1,mezquitera,2,83100,43.9197887598013,0.350636,6243.48719968046,0.865794,4.53015530208892,0.690366072902016
1,mezquitera,3,84400,39.2215655497353,1.228366,5880.11891270415,0.702188,7.36566660341112,0.913856793303909
1,mezquitera,4,90300,39.0533270761514,0.821953,5733.96357475329,0.803894,3.78384398287899,0.44694650666128
1,tetechera,1,92900,39.1409371326844,0.393336,5695.2644076165,0.868707,7.44294186959995,0.414345287783004
1,tetechera,2,94400,49.2197887583431,1.1434,7003.23651799755,0.715836,3.8477730028818,0.734705761728083
1,tetechera,3,95600,45.0197898491901,0.3547,5285.20303412692,0.865317,3.84797962919308,0.600367344101629
1,tetechera,4,100700,37.4253554505007,1.26976,5834.61648842054,0.710412,9.96085536401994,0.795242634537083
2,tetechera,1,73200,38.8496899304529,0.834009,6234.19825533392,0.805118,8.68237313645718,0.626346048279237
2,tetechera,2,75100,36.3394639268002,1.503386,7706.49105244521,0.601127,5.38360445499234,0.788886254171354
2,tetechera,3,81200,35.9209720232232,0.757855,6659.43134141887,0.81407,5.83273104520964,0.804875162165672
2,tetechera,4,83400,37.3284630954803,1.550391,5871.24437814815,0.620563,5.23727391526315,0.946551251998135
2,tetechera,5,90900,37.520028812985,0.813305,5872.65068012749,0.807243,2.7802216199214,0.466314656826687
2,cultivo,1,92500,36.1202214164648,0.536183,5446.50912023633,0.841791,2.89612055106174,0.569114603175753
2,cultivo,2,93700,32.7927608666981,0.828807,5131.04206855777,0.791052,2.84547313886804,0.665331493038846
2,cultivo,3,94900,35.3713935692052,0.271001,5418.53798276636,0.875779,2.41747570265714,0.438133959981357
2,cultivo,4,60700,32.7101240518574,0.613183,6247.76935279253,0.850361,2.59078331856483,0.839475028773688
2,mezquitera,1,62500,32.4939876997857,0.718094,6840.8377858793,0.82537,3.23189976324187,0.765905043123542
2,mezquitera,2,63900,38.3075132316601,1.741652,6831.70962208143,0.544413,8.25531129215988,0.951194097143871
2,mezquitera,3,65400,39.5528807860027,1.26331,5942.11311053869,0.698328,6.04347680773356,0.885069651130237
2,mezquitera,4,71200,36.4214220723672,1.169933,6145.07645504983,0.732549,4.620757769204,0.790200685048079
3,mezquitera,1,90100,33.7220535999724,0.025318,5779.38112217796,0.898597,7.97283002437581,0.055253580668065
3,mezquitera,2,92500,35.0304427906445,0.024401,6148.62698300153,0.898879,5.16189636638759,-0.061260066473099
3,mezquitera,3,94400,33.6325486664899,0.172842,4614.00952371743,0.890229,4.54936413616548,0.137832197558177
3,mezquitera,4,101500,46.7197888408512,0.013077,6041.0256660736,0.899584,4.34143129104135,-0.088989613545504
3,mezquitera,5,60500,33.8397063252028,2.171044,6508.9237696923,0.276133,3.05519901976744,0.584328928395092
3,tetechera,1,62200,34.3750219664161,2.038311,5591.49285120801,0.389771,2.54217218405779,0.625003014678062
3,tetechera,2,63200,34.2423682560052,2.255994,5479.78395053025,0.170154,5.03519493304858,0.846645881674067
3,tetechera,3,64400,37.7742045096689,1.663574,5770.95758235855,0.595035,6.22970043499327,0.884831063337022
3,tetechera,4,65800,36.8409211853688,2.036937,5435.03057793202,0.398777,3.66756596824786,0.597854088065609
3,cultivo,1,73800,42.819794398421,1.828758,6017.47891768971,0.513085,8.30982541136581,0.954123533947223
3,cultivo,2,80300,34.4789435511964,2.253365,5472.80620917831,0.177253,4.48974209155373,0.589173603729535
3,cultivo,3,81600,35.9585564178986,1.268673,5735.87762413287,0.71397,5.95255435056885,0.412807645822911
3,cultivo,4,83200,34.1204188474027,1.028299,5520.04112382675,0.74771,4.77220604724904,0.73260904141684
4,tetechera,1,82900,33.6059100012854,0.130342,5836.4509313782,0.890812,4.95162617518929,0.12602164858799
4,tetechera,2,85100,32.6238505206212,0.027313,6017.52833910598,0.898809,4.90811334157882,0.023488399047609
4,tetechera,3,90400,36.0123796938121,0.587122,4942.00279308626,0.848832,6.32829938958214,0.529408980596538
4,tetechera,4,91500,34.3682526048761,0.084757,5303.00205462884,0.895629,7.02109393850055,0.037748340660316
4,tetechera,5,73200,36.7224503301753,2.048323,5455.65604759878,0.392679,6.15587331954586,0.862248714249039
4,mezquitera,1,74400,38.8198064670376,2.284717,5487.23247353836,0.106714,5.60097136899684,0.818652986586281
4,mezquitera,2,75400,33.7790918600622,2.220543,4660.4307174628,0.224169,2.43193013369632,0.617184177164905
4,mezquitera,3,80400,34.4042036868812,2.148096,4809.84355474236,0.310053,4.38255788767901,0.617102482337008
4,mezquitera,4,60300,35.7863512388745,1.10379,5327.39337733787,0.767872,4.20842607460796,0.826204359522012
4,cultivo,1,61100,37.7197964567704,1.478171,5312.36153619362,0.647208,3.13706112966809,0.882344568034163
4,cultivo,2,62500,36.7612525398526,1.938491,5074.14636326895,0.462438,4.27967004670818,0.853882653134787
4,cultivo,3,64100,36.7221962322246,1.560328,4641.52712873093,0.633817,5.48387160455987,0.880086097649153
4,cultivo,4,65300,35.9342836970793,0.647739,4943.591716016,0.832669,5.51343662181692,0.773619940515769
5,cultivo,1,60300,33.484838801269,1.711097,4746.13666382635,0.579368,5.88159529068487,0.844094013093128
5,cultivo,2,61700,33.3726528664982,1.531299,5578.77819311034,0.631988,5.26511054394071,0.873391027169416
5,cultivo,3,62700,46.1367973162438,1.793573,6273.7636567548,0.532385,7.36030818370922,0.788347188796697
5,cultivo,4,64500,47.2199312868972,2.142483,8538.06043066684,0.28108,8.55326168749711,0.986178466946869
5,cultivo,5,65400,42.5512605401167,1.40602,6070.91414974783,0.690373,8.45841461313482,0.949157740168976
5,tetechera,1,83200,33.7630772869534,1.010205,4833.31198797923,0.76685,3.75364438786272,0.664633238588403
5,tetechera,2,84500,38.5682758231347,1.536772,4641.8767189657,0.640064,11.0940554197257,0.981010734190435
5,tetechera,3,85700,38.2185231279773,1.311614,5988.8678527527,0.710255,8.10233328438861,0.953037398746506
5,tetechera,4,90500,38.8975999679987,0.505405,4816.66748966334,0.859672,3.47867082904995,0.126195284316175
5,mezquitera,1,71100,36.4197945279837,1.415501,5524.36833988464,0.669239,6.64800556071743,0.806584669096373
5,mezquitera,2,72600,34.6227977082509,1.10431,4135.7970121212,0.749535,5.6791858098897,0.820718205565739
5,mezquitera,3,74000,37.8403758296561,1.517649,4466.4572929198,0.645672,8.39357578820475,0.92281286596103
5,mezquitera,4,75500,33.9985848689186,0.086871,4862.16548968887,0.895122,3.83040009590122,0.255375557736834
6,mezquitera,1,72200,39.2858417905514,0.950073,10628.516942147,0.784876,9.38249870433898,0.743355713492527
6,mezquitera,2,74300,38.4306043019456,0.172355,13830.8570849767,0.885647,6.61799923684691,0.230645275507885
6,mezquitera,3,81200,36.0806702806769,1.306662,16122.2940599365,0.692508,4.71191885239203,0.826741765828604
6,mezquitera,4,84100,41.9367696109047,0.180023,10551.5480870391,0.885684,7.70198370881659,-0.104079952114627
6,mezquitera,5,61800,36.9259662016536,2.298297,5259.94974459125,0.051689,1.82473424772979,0.671093793558487
6,cultivo,1,63400,36.1567397277456,1.403723,3847.91068818481,0.690642,4.88796169955207,0.877586672136595
6,cultivo,2,64400,39.7416501356893,1.500747,9396.16480978751,0.657015,6.70273887713846,0.90589524702365
6,cultivo,3,65200,38.121546812249,2.055106,5894.48551174451,0.380642,5.52697816992363,0.819939371947894
6,cultivo,4,70300,35.4797806545937,0.892051,7099.83745198552,0.801236,4.91004664467191,0.785492044098013
6,tetechera,1,90100,40.9199257158664,0.062676,12202.7348421935,0.896377,4.03182611574135,-0.019930791217889
6,tetechera,2,91300,35.0324476194554,0.003212,8659.11483889218,0.899907,3.47675662771209,0.115159511809772
6,tetechera,3,92400,37.4317467518104,0.260231,9961.97535511851,0.876261,3.6589379224121,0.00730738630483
6,tetechera,4,93000,36.8201408324928,0.152759,10708.4425879411,0.892873,5.33564814413145,-0.136054925752276
